x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature
192,80,-0.45586392,-4.01440907,-0.45460594,-4.02342749,0.99638265,3,0.00043933,48
194,80,-0.45924214,-4.01857424,-0.45540026,-4.01409578,0.99645263,3,0.0006526,47
196,80,-0.46508896,-4.01921558,-0.4550947,-4.01364231,0.99632978,3,0.00072391,45
198,80,-0.46091074,-4.0194869,-0.46403265,-4.01313257,0.99624956,4,0.00017727,48
200,80,-0.4659147,-4.01859045,-0.4656823,-4.01105261,0.99628401,4,0.00020736,45
202,80,-0.46344167,-4.0159421,-0.4670966,-4.02525616,0.99647868,4,0.00024905,45
204,80,-0.46731198,-4.01424789,-0.47783139,-4.01964951,0.9964819,4,0.00019418,44
206,80,-0.46256402,-4.01239252,-0.47660446,-4.01718187,0.99643141,4,0.00031822,42
208,80,-0.46557438,-4.01803446,-0.4817175,-4.01683569,0.99637538,4,0.00039471,42
210,80,-0.46408463,-4.01687336,-0.48000929,-4.01194572,0.99622864,3,0.00076284,41
212,80,-0.45995498,-4.01536846,-0.48196244,-4.00968885,0.99608105,4,0.00026227,38
214,80,-0.46052942,-4.01075983,-0.48709738,-4.01322365,0.99577099,4,0.00022054,38
216,80,-0.46043545,-4.00524092,-0.49038243,-4.01440001,0.99572623,4,0.00023047,34
218,80,-0.46436891,-4.00473118,-0.49000549,-4.01488113,0.99574745,3,0.00097055,33
220,80,-0.47008222,-4.00463676,-0.48953164,-4.00630426,0.99570936,4,0.00024645,35
222,80,-0.47045958,-4.00379896,-0.4916755,-3.99646425,0.99555391,4,0.00027324,36
224,80,-0.47435656,-4.00550795,-0.49106279,-3.99552155,0.99546099,4,0.00027047,37
226,80,-0.4693709,-4.00550365,-0.49432641,-3.99403381,0.99534976,4,0.00041921,35
228,80,-0.48240158,-4.0056324,-0.4925057,-3.99538469,0.99518818,3,0.0009533,37
30,82,-0.42458117,-3.9859848,-0.42324749,-3.99104071,0.99723428,4,0.00019662,39
32,82,-0.42680162,-3.98503995,-0.42577308,-3.99742508,0.99723494,4,0.00025331,39
34,82,-0.42537218,-3.98683643,-0.42973122,-3.99629903,0.99721825,4,0.00023366,39
36,82,-0.42857465,-3.98601389,-0.43286049,-3.99791241,0.99723703,3,0.00080063,38
38,82,-0.43008378,-3.98493624,-0.43400878,-3.99767518,0.99715596,3,0.00065927,38
40,82,-0.43124676,-3.98979783,-0.42731282,-3.9960084,0.99704957,3,0.00018023,38
42,82,-0.43140158,-3.98980331,-0.42735749,-3.99410033,0.99708056,3,0.00045545,39
44,82,-0.43476841,-3.98974729,-0.43043458,-3.9967618,0.99686062,3,0.00017585,41
46,82,-0.4384816,-3.99311638,-0.43540701,-3.99784684,0.99686372,3,0.00089715,36
48,82,-0.43845734,-3.99148178,-0.43755266,-3.99650979,0.99681222,3,0.00076528,35
50,82,-0.44481999,-3.99120593,-0.43868622,-3.99058342,0.99688828,3,0.00075796,35
52,82,-0.44825816,-3.99480391,-0.43186328,-3.99318933,0.99687487,4,0.00024995,39
54,82,-0.44488114,-3.99741554,-0.43397826,-3.98373961,0.99682826,4,0.00016853,39
56,82,-0.44832769,-3.99670959,-0.43563426,-3.98467612,0.99683702,3,0.00067826,38
58,82,-0.44345242,-3.99658155,-0.43375751,-3.98671651,0.99697328,3,0.00062598,36
60,82,-0.44431454,-3.99779534,-0.437206,-3.98782325,0.99701023,3,0.00072952,35
62,82,-0.44607404,-4.00164509,-0.43018284,-3.9860692,0.99699092,3,0.00092501,38
64,82,-0.44243145,-4.00257921,-0.43550158,-3.98321652,0.99691767,3,0.00068045,37
66,82,-0.44131455,-4.00496149,-0.43764633,-3.98089075,0.99696916,4,0.00026637,39
68,82,-0.43836066,-4.00494862,-0.43520305,-3.98156357,0.99700016,3,0.00092539,43
70,82,-0.43454093,-4.00914669,-0.42685574,-3.98453069,0.99706316,3,0.0008857,46
72,82,-0.43075806,-4.00867414,-0.42375198,-3.9828968,0.99718034,3,0.00084688,46
74,82,-0.43029559,-4.01024103,-0.4228794,-3.98201084,0.99726224,3,0.00063605,47
76,82,-0.42372191,-4.01276541,-0.4204044,-3.98317742,0.99728322,3,0.00052432,47
78,82,-0.4284386,-4.00649118,-0.41984481,-3.98864102,0.99726194,3,0.00054946,50
80,82,-0.42308965,-4.0048337,-0.42530581,-3.98973417,0.99727386,3,0.0006654,51
82,82,-0.41827744,-4.00401688,-0.42391232,-3.98745561,0.99703306,3,0.00084647,45
84,82,-0.419278,-4.00701284,-0.42417014,-3.99013543,0.99708211,3,0.00084351,46
86,82,-0.42017609,-4.0084796,-0.42471677,-3.99136305,0.99707162,3,0.00055171,46
88,82,-0.41607964,-4.00652838,-0.42061025,-3.98242378,0.99707663,4,0.00018645,48
90,82,-0.41808569,-4.00370741,-0.42108321,-3.98292518,0.99697763,3,0.00080673,47
92,82,-0.42171299,-4.00234222,-0.42140678,-3.98574257,0.99681777,3,0.00093989,51
94,82,-0.42279288,-4.00535727,-0.42233503,-3.9878006,0.9967379,3,0.000727,51
96,82,-0.42183045,-4.01343393,-0.42283726,-3.98505759,0.996957,3,0.00056639,49
98,82,-0.42635846,-4.01561642,-0.42154095,-3.99149942,0.99701542,3,0.00044719,43
100,82,-0.42303592,-4.01702118,-0.42528981,-3.98825002,0.99691355,3,0.00041577,42
102,82,-0.42155579,-4.02237272,-0.42695528,-3.99031639,0.99680936,3,0.00053821,40
104,82,-0.42339352,-4.02211952,-0.42432249,-3.99462771,0.99668461,3,0.00065325,41
106,82,-0.42409173,-4.02074623,-0.42948571,-4.00121021,0.99635363,3,0.00069089,43
108,82,-0.42574596,-4.01906681,-0.42684296,-4.00168133,0.99613392,3,0.00055563,42
110,82,-0.42927954,-4.02036428,-0.42491496,-4.00387144,0.99629682,3,0.00048366,41
112,82,-0.42616761,-4.02042818,-0.42287609,-4.00582123,0.99632591,3,0.00054319,41
114,82,-0.43200666,-4.02384567,-0.4205296,-4.00541878,0.99664748,3,0.00078187,40
116,82,-0.43027008,-4.02100325,-0.41923377,-4.00748301,0.99673879,3,0.00080675,41
118,82,-0.42919034,-4.02285576,-0.41823146,-4.00026083,0.99663293,3,0.00095089,38
120,82,-0.42752129,-4.01933813,-0.41950339,-4.00296164,0.99655616,3,0.00084606,41
122,82,-0.4323808,-4.01600218,-0.42073643,-4.00628281,0.99643189,3,0.00081324,41
124,82,-0.43082002,-4.01317024,-0.41902742,-4.00807238,0.99648505,4,0.00022426,41
126,82,-0.43263036,-4.01193523,-0.41974404,-4.00815296,0.99656761,3,0.00072254,37
128,82,-0.4339695,-4.00999165,-0.42209333,-4.00872278,0.99656487,3,0.00054691,40
130,82,-0.43512729,-4.00879002,-0.42048556,-4.01136637,0.99630773,3,0.00071555,37
132,82,-0.43574667,-4.0098815,-0.42429,-4.01321602,0.99635261,3,0.00081509,42
134,82,-0.43631023,-4.00872469,-0.42507803,-4.0143075,0.99632531,3,0.0007148,45
136,82,-0.43954161,-4.00761938,-0.42702356,-4.01568508,0.99632299,3,0.00059138,43
138,82,-0.43936077,-4.00940847,-0.43169671,-4.01367521,0.99643999,3,0.0006864,45
140,82,-0.43784887,-4.00902939,-0.43275967,-4.01639986,0.99674076,3,0.00054779,44
142,82,-0.43605345,-4.01209068,-0.431907,-4.01481295,0.99670279,3,0.00083954,40
144,82,-0.4364284,-4.01331854,-0.43523097,-4.01459169,0.99670529,3,0.00067842,40
146,82,-0.43662503,-4.01596498,-0.44628727,-4.02411556,0.99661189,4,0.00033576,42
