x,y,r1r2 ZNCC,r2_x,r2_y,ref_x,ref_y,ref_z
1230,250,0.99810219,1169.833496,186.1328125,3.26947451,-40.31033707,645.9973145
1235,250,0.99524587,1174.919067,186.3822937,3.57202005,-40.30532074,645.9402466
1240,250,0.99771893,1180.111084,186.5433197,3.8743279,-40.30192947,645.8668213
1245,250,0.99806005,1185.40625,186.7049103,4.17646646,-40.29754639,645.7772217
1250,250,0.9980554,1190.617798,186.9189301,4.4786725,-40.29237366,645.7003784
1255,250,0.9981969,1195.796509,187.1646423,4.78091526,-40.2865448,645.6282959
1260,250,0.99806392,1200.91626,187.308609,5.08298492,-40.2842598,645.5646362
1265,250,0.99822444,1206.187744,187.4863739,5.38486624,-40.27952957,645.4775391
1270,250,0.99825197,1211.376587,187.6893311,5.68683004,-40.27483368,645.4031982
1275,250,0.99343866,1216.555664,187.8787537,5.98868561,-40.27057648,645.3295898
1280,250,0.99200064,1221.734497,188.2262573,6.29062319,-40.26160049,645.2561035
1285,250,0.99302566,1226.918945,188.4238739,6.59230614,-40.25701523,645.1812134
1290,250,0.99351418,1232.072388,188.5689697,6.89397287,-40.25428391,645.1109619
1295,250,0.99803227,1237.237427,188.7721863,7.19555855,-40.24965286,645.0383301
1300,250,0.99736094,1242.47168,189.0020752,7.49701118,-40.24359894,644.9552002
1305,250,0.99689937,1247.67627,189.1994934,7.79839563,-40.23877335,644.8762207
1310,250,0.99749386,1252.800537,189.3586578,8.09982395,-40.23579025,644.8092651
1315,250,0.99758083,1257.920532,189.5351563,8.40116024,-40.23230743,644.7423096
1320,250,0.99788624,1263.100952,189.7620239,8.70244026,-40.22676468,644.6663818
1325,250,0.99831325,1268.277466,189.9225464,9.0035944,-40.22322464,644.5906982
1330,250,0.998043,1273.332764,190.1430359,9.30491447,-40.21896744,644.532959
1335,250,0.99545878,1278.484863,190.3844299,9.60601234,-40.21318436,644.4602661
1340,250,0.97329766,1283.646118,190.4225159,9.90680408,-40.21335983,644.3858032
1345,250,0.87577504,1289.282715,192.3244476,10.2081089,-40.15351105,644.239563
1350,250,0.44753939,1300.680298,188.3877716,10.48947906,-40.21420288,643.2126465
1355,250,0.61350667,1302.494385,189.1518555,10.79886532,-40.22378922,643.6472168
1360,250,0.32837433,1306.755981,188.9804688,11.10128403,-40.23849487,643.7084961
1365,250,0.47381973,1309.380859,186.9562988,11.40635967,-40.32367706,644.0178223
1370,250,0.90566629,1332.178223,191.4016113,11.66216183,-40.02893448,641.2648926
1375,250,0.80210972,1339.883423,192.7762909,11.95519543,-39.96577835,640.8041992
1380,250,0.99534631,1348.038574,192.6126862,12.2451582,-39.94421005,640.2751465
1385,250,0.71743619,1353.303345,187.9882355,12.53887558,-40.08163071,640.1795654
1390,250,0.99527216,1363.556274,193.201767,12.82676983,-39.88117981,639.3377075
1395,250,0.99556392,1371.351074,193.4172058,13.11674213,-39.8516922,638.8636475
1400,250,0.73432267,1378.564209,193.0155335,13.40751457,-39.8458252,638.4769898
1405,250,0.99410933,1386.647949,193.8610535,13.69628716,-39.79502487,637.960144
1410,250,0.99381274,1394.393555,194.1295776,13.98515034,-39.764431,637.4939575
1415,250,0.99398112,1401.930786,194.2993774,14.27419376,-39.73867798,637.0592041
