x,y,u,v,u0,v0,ZNCC,iteration,convergence,feature,exx,eyy,exy
162,406,-0.44566128,-3.39379954,0,-3,0.99553865,4,0.00063923,0,-0.00195372,0.00055638,0.00068575
164,406,-0.44902223,-3.38832641,0,-3,0.9952361,4,0.00055264,0,-0.00191887,0.00064499,0.00078225
166,406,-0.45127845,-3.3822453,0,-3,0.99496579,4,0.00082013,0,-0.00189772,0.00073866,0.00087906
168,406,-0.45492321,-3.37418294,0,-3,0.99461299,4,0.00088788,0,-0.00186988,0.00084099,0.00098109
170,406,-0.45869359,-3.36645269,0,-3,0.99413097,5,0.000483,0,-0.00184114,0.00094945,0.00107504
172,406,-0.4663406,-3.35658407,0,-3,0.99362636,5,0.00050672,0,-0.00182243,0.00107144,0.00116278
174,406,-0.46602577,-3.34811354,0,-3,0.99362731,5,0.00044511,0,-0.00181303,0.00120127,0.00124934
176,406,-0.47017533,-3.33914948,0,-3,0.99351543,5,0.00026716,0,-0.00179354,0.00133845,0.00132342
178,406,-0.47112221,-3.33319473,0,-3,0.99337447,5,0.00033944,0,-0.00179014,0.0014791,0.00139261
180,406,-0.4762702,-3.32258773,0,-3,0.99326545,5,0.0002137,0,-0.00179066,0.00162433,0.00145113
182,406,-0.48160365,-3.31203556,0,-3,0.99308372,4,0.00078764,0,-0.00178745,0.00177385,0.00149117
184,406,-0.48550037,-3.30206656,0,-3,0.99265248,4,0.00090664,0,-0.00177712,0.00192373,0.00152445
186,406,-0.48764989,-3.29093266,0,-3,0.99247509,5,0.00027971,0,-0.00177271,0.00207241,0.00154311
188,406,-0.49131435,-3.28053904,0,-3,0.99265188,5,0.00020735,0,-0.00178571,0.00222045,0.00154994
190,406,-0.49613526,-3.2693522,0,-3,0.99244249,5,0.00026518,0,-0.00179839,0.00236497,0.00154139
192,406,-0.50002146,-3.25974894,0,-3,0.99249899,5,0.00032773,0,-0.00184334,0.00250685,0.00151738
194,406,-0.50234783,-3.24980807,0,-3,0.99269116,4,0.0009973,0,-0.00185748,0.00264228,0.00147914
196,406,-0.50783736,-3.23922539,0,-3,0.99257809,4,0.00097583,0,-0.00187539,0.00277465,0.00142402
198,406,-0.51211482,-3.23002839,0,-3,0.99280787,4,0.0008216,0,-0.00187514,0.00289623,0.00134951
200,406,-0.51476192,-3.22253489,0,-3,0.99342251,4,0.00068012,0,-0.0018703,0.00300793,0.00127007
202,406,-0.51721364,-3.21181631,0,-3,0.99390101,4,0.00039033,0,-0.00187931,0.00310715,0.00118674
204,406,-0.52412289,-3.2031455,0,-3,0.99439406,4,0.00072774,0,-0.00188374,0.0031959,0.00110241
206,406,-0.53023911,-3.19664025,0,-3,0.99444515,4,0.0006574,0,-0.00186647,0.00327399,0.00101189
208,406,-0.5330357,-3.18805766,0,-3,0.99438846,4,0.00095869,0,-0.00184593,0.00333657,0.00091958
210,406,-0.53927529,-3.181566,0,-3,0.994142,4,0.00070516,0,-0.00181598,0.00338811,0.00082487
212,406,-0.54145068,-3.17412233,0,-3,0.99435353,4,0.00060662,0,-0.00181475,0.00343101,0.00076448
214,406,-0.54452837,-3.16920638,0,-3,0.99450338,4,0.00073849,0,-0.0017969,0.00346238,0.00070656
216,406,-0.54855758,-3.16300011,0,-3,0.99471551,4,0.00043031,0,-0.00179187,0.00348921,0.0006599
218,406,-0.5500806,-3.15693808,0,-3,0.99488533,4,0.00053298,0,-0.00177153,0.00351063,0.00060986
220,406,-0.55612147,-3.15073776,0,-3,0.99484438,4,0.00070937,0,-0.00173278,0.00352593,0.00055817
222,406,-0.5593977,-3.14541841,0,-3,0.99478221,4,0.00090195,0,-0.001671,0.00353426,0.00052038
224,406,-0.5586164,-3.14218783,0,-3,0.99493819,5,0.00027979,0,-0.00162245,0.00353983,0.00048547
226,406,-0.56264156,-3.13823175,0,-3,0.99491835,4,0.00096877,0,-0.00160351,0.00354249,0.00044577
228,406,-0.56454885,-3.13389421,-1,-3,0.9949494,5,0.00026949,0,-0.00157382,0.00354275,0.00041259
30,408,-0.25703624,-3.05390358,0,-3,0.99749857,4,0.00027425,0,-0.00080507,0.00358881,0.00030522
32,408,-0.26019338,-3.05862379,0,-3,0.99740982,4,0.00026512,0,-0.00082397,0.00359272,0.00032462
34,408,-0.26165763,-3.0599215,0,-3,0.99731481,4,0.000306,0,-0.0008717,0.00359596,0.00033156
36,408,-0.26320329,-3.06273985,0,-3,0.99730879,4,0.00032124,0,-0.0009028,0.00359736,0.00032228
38,408,-0.26440156,-3.06729627,0,-3,0.99732149,4,0.00034674,0,-0.00093321,0.00360028,0.00031055
40,408,-0.26523891,-3.07062411,0,-3,0.99743301,4,0.00039281,0,-0.00095989,0.00360559,0.00029939
42,408,-0.26699391,-3.07191277,0,-3,0.99736166,4,0.00027659,0,-0.00099094,0.00361285,0.00028966
44,408,-0.26946837,-3.07446361,0,-3,0.99739438,4,0.00033024,0,-0.00101327,0.00361835,0.00027418
46,408,-0.27083212,-3.07667232,0,-3,0.99738669,4,0.00032262,0,-0.00104279,0.00362229,0.00025553
48,408,-0.270619,-3.07835722,0,-3,0.99735469,4,0.00032996,0,-0.00108729,0.0036246,0.00023755
50,408,-0.2744489,-3.08181262,0,-3,0.99735093,4,0.00032955,0,-0.00115488,0.00362738,0.00021187
52,408,-0.27921739,-3.08497334,0,-3,0.99715185,4,0.00023378,0,-0.00123769,0.00362603,0.00018167
54,408,-0.27987665,-3.09087586,0,-3,0.99700975,4,0.00040808,0,-0.00131401,0.00362096,0.00014384
56,408,-0.28224894,-3.09516931,0,-3,0.99684799,4,0.00029821,0,-0.0013815,0.00361382,0.00010209
58,408,-0.28519568,-3.09872985,0,-3,0.99682295,4,0.00035049,0,-0.00143135,0.0036056,0.00005098
60,408,-0.28810081,-3.10223603,0,-3,0.9966917,4,0.00038425,0,-0.0014706,0.00359569,-0.00001166
62,408,-0.28948632,-3.10781622,0,-3,0.99669147,4,0.00050093,0,-0.00151673,0.0035836,-0.00008585
64,408,-0.29419541,-3.11376214,0,-3,0.99667031,4,0.00038521,0,-0.00156234,0.00356874,-0.00017518
66,408,-0.29927123,-3.11771774,0,-3,0.9968062,4,0.00044112,0,-0.00159381,0.00354879,-0.00026859
68,408,-0.3024365,-3.12225509,0,-3,0.99684364,4,0.00042261,0,-0.00159425,0.00352461,-0.00037297
70,408,-0.30709499,-3.12773418,0,-3,0.99675763,4,0.00045449,0,-0.00159347,0.00349167,-0.00048744
72,408,-0.31001577,-3.13459134,0,-3,0.99677724,4,0.00046199,0,-0.0015963,0.00345173,-0.00061627
74,408,-0.31195572,-3.14055324,0,-3,0.99682927,4,0.00042073,0,-0.00157905,0.00340095,-0.00075029
76,408,-0.31458905,-3.14784813,0,-3,0.99675757,4,0.00046999,0,-0.00155909,0.00333881,-0.00088544
78,408,-0.31802639,-3.15761471,0,-3,0.99665082,4,0.00046476,0,-0.00153317,0.00326815,-0.00102149
80,408,-0.3247669,-3.16791844,0,-3,0.99662626,4,0.0003758,0,-0.0014838,0.00318735,-0.00115092
82,408,-0.32832482,-3.17801523,0,-3,0.99656928,4,0.00038948,0,-0.00142279,0.00309755,-0.00127655
84,408,-0.33117846,-3.187289,0,-3,0.99648517,4,0.00041257,0,-0.00135169,0.00299586,-0.00139399
86,408,-0.33080122,-3.19779348,0,-3,0.99648714,4,0.00053808,0,-0.00129395,0.00288279,-0.00149741
88,408,-0.33398941,-3.20952773,0,-3,0.99663818,4,0.00043327,0,-0.00122992,0.00276016,-0.00157969
90,408,-0.33699736,-3.2220912,0,-3,0.99656212,4,0.00052369,0,-0.00117859,0.00262488,-0.00164303
92,408,-0.33930388,-3.2332871,0,-3,0.99650168,4,0.0004659,0,-0.0011292,0.00248126,-0.00168682
94,408,-0.34341076,-3.24384546,0,-3,0.99635029,4,0.00041042,0,-0.00108297,0.0023303,-0.00170543
96,408,-0.34688565,-3.25700188,0,-3,0.99621779,4,0.0005216,0,-0.00102519,0.00217414,-0.00170459
98,408,-0.34554833,-3.26828837,0,-3,0.99609756,4,0.00046523,0,-0.00098907,0.00201524,-0.00168801
100,408,-0.34747568,-3.28039598,0,-3,0.99591923,4,0.00042292,0,-0.00097767,0.00185515,-0.00165675
102,408,-0.34818223,-3.29334497,0,-3,0.99556744,4,0.00058101,0,-0.00098214,0.00169811,-0.00161989
104,408,-0.35008806,-3.3063724,0,-3,0.99530536,4,0.00059696,0,-0.00099751,0.00154601,-0.00155961
106,408,-0.35107797,-3.31682539,0,-3,0.99507242,4,0.00060736,0,-0.00101152,0.00139554,-0.00148568
108,408,-0.35426441,-3.32791638,0,-3,0.99491495,4,0.0007185,0,-0.00104028,0.00125509,-0.00139673
110,408,-0.35772341,-3.33801389,0,-3,0.99470735,4,0.00053231,0,-0.00107136,0.00112485,-0.00129972
112,408,-0.35930991,-3.34703016,0,-3,0.99460727,4,0.00058558,0,-0.00111056,0.00100121,-0.00119145
114,408,-0.35852373,-3.35523224,0,-3,0.99482358,4,0.00043244,0,-0.00116245,0.00088612,-0.00107643
116,408,-0.36207658,-3.36478758,0,-3,0.99505049,4,0.00054888,0,-0.00129128,0.0007496,-0.00100624
118,408,-0.36386311,-3.37287378,0,-3,0.99522489,4,0.00048472,0,-0.00143668,0.0006084,-0.00095491
120,408,-0.3668673,-3.38352156,0,-3,0.99519861,4,0.00045153,0,-0.00155715,0.00049982,-0.00088733
122,408,-0.37138364,-3.38880348,0,-3,0.9953844,4,0.00086648,0,-0.00163185,0.00042099,-0.00079877
124,408,-0.37425315,-3.39552689,0,-3,0.99561274,4,0.00073884,0,-0.00168411,0.00036655,-0.00070032
126,408,-0.37765691,-3.39956713,0,-3,0.99573863,4,0.00087446,0,-0.00174231,0.00031983,-0.00061016
128,408,-0.3787984,-3.40456986,0,-3,0.99589199,4,0.00068641,0,-0.00191238,0.00025474,-0.00060699
130,408,-0.38188088,-3.4076252,0,-3,0.996131,4,0.00068722,0,-0.00196521,0.00021697,-0.00053389
132,408,-0.38404223,-3.412009,0,-3,0.99647778,4,0.00059743,0,-0.00184798,-0.00088593,-0.00051454
134,408,-0.38846564,-3.41398335,0,-3,0.99659938,4,0.00062167,0,-0.00183205,-0.00199722,-0.00052188
136,408,-0.39467847,-3.41622257,0,-3,0.99694449,4,0.00046729,0,-0.00189359,-0.0030158,-0.00051182
138,408,-0.39769146,-3.41760755,0,-3,0.99710709,4,0.00051922,0,-0.00200156,-0.00304181,-0.00029527
140,408,-0.40036455,-3.41796279,0,-3,0.99716628,4,0.00053913,0,-0.00209679,-0.00306404,-0.00008056
142,408,-0.40646085,-3.41836905,0,-3,0.9971354,4,0.00055619,0,-0.00218145,-0.00308536,0.00014526
144,408,-0.41047758,-3.42017555,0,-3,0.99723285,4,0.00076543,0,-0.0022527,-0.00310135,0.00036758
