x,y,u,ux,uy,v,vx,vy
70,260,-0.4057143,-0.00034851,0.00129662,-3.51111794,-0.00099116,0.00294912
72,260,-0.40859708,-0.00002992,0.00128362,-3.51328421,-0.00109427,0.00287282
74,260,-0.40611929,-0.00024229,0.00112529,-3.51167393,-0.00107231,0.00253534
76,260,-0.40904871,-0.00024486,0.00101795,-3.51353478,-0.00113421,0.00238025
78,260,-0.41175091,-0.0002827,0.00082454,-3.51632977,-0.00118675,0.00222552
80,260,-0.40959299,-0.00039417,0.00099155,-3.5180099,-0.0011657,0.00201583
82,260,-0.41038719,-0.00026208,0.0007376,-3.5207119,-0.00119309,0.00228584
84,260,-0.41091573,-0.00013894,0.00079949,-3.5210712,-0.00102291,0.00207257
86,260,-0.41154915,-0.00032854,0.00075429,-3.52386785,-0.00104287,0.00195909
88,260,-0.41292861,-0.00045091,0.00039043,-3.52567744,-0.00101647,0.00192928
90,260,-0.41480517,-0.00080961,0.00039566,-3.5269165,-0.00081234,0.00194395
92,260,-0.41629609,-0.00065821,0.00032078,-3.52715683,-0.00026692,0.00182688
94,260,-0.41533217,-0.00071865,0.00064561,-3.52809572,-0.00045424,0.00193119
96,260,-0.41728532,-0.00096428,0.00043385,-3.53145051,-0.00024271,0.00165093
98,260,-0.42076147,-0.00044775,0.00027028,-3.53168392,-0.00021669,0.00159192
100,260,-0.42147258,-0.00046599,0.00023803,-3.53361869,-0.00046496,0.00151706
102,260,-0.41956589,-0.00026679,0.00013261,-3.53470492,-0.00057101,0.00146413
104,260,-0.42134786,-0.00026715,0.00034058,-3.5342977,-0.00055646,0.00151837
106,260,-0.42199683,-0.00013566,0.00011129,-3.53466415,-0.00050754,0.00157952
108,260,-0.4215782,-0.00002301,0.00018096,-3.53819227,-0.00050338,0.00149024
110,260,-0.42087787,-0.00008136,0.00007898,-3.53850007,-0.00029216,0.00162506
112,260,-0.42086503,-0.00020856,0.00017535,-3.53859234,-0.00042956,0.00159788
114,260,-0.42315671,0.00000882,-0.00013725,-3.53858972,-0.0007725,0.00184762
116,260,-0.42675027,-0.00038928,0.00024029,-3.53839636,-0.00044647,0.00161827
118,260,-0.42730856,-0.00034624,0.00003818,-3.53957939,-0.00042257,0.00158846
120,260,-0.42713085,-0.00045371,0.00017611,-3.53987932,-0.00033637,0.00159538
122,260,-0.42766139,-0.00047922,0.0002738,-3.54254866,-0.00029017,0.00173306
124,260,-0.42855003,-0.00035286,0.00020817,-3.54585385,-0.00053062,0.00181592
126,260,-0.42603096,-0.00003546,0.00010264,-3.54720998,-0.0005374,0.00179231
128,260,-0.4254716,-0.00031447,-0.00011466,-3.54530406,-0.00037954,0.00162089
130,260,-0.42561179,-0.00025111,-0.00011391,-3.54697776,-0.00027209,0.00191343
132,260,-0.42497203,-0.00021005,0.0000078,-3.54787493,-0.00024269,0.00194061
134,260,-0.42832696,0.00007963,0.00000667,-3.54767847,-0.00060648,0.00200033
136,260,-0.43038735,-0.00012457,0.00017346,-3.54829621,-0.00052181,0.00186312
138,260,-0.42800999,0.00008464,0.00007835,-3.54942036,-0.00024159,0.00216591
140,260,-0.43328646,-0.00077838,-0.00015632,-3.54923654,-0.00021887,0.00218117
142,260,-0.43427426,-0.00037605,0.00002403,-3.54829288,-0.00019259,0.00241768
144,260,-0.4341082,-0.00003684,0.00000614,-3.54764962,0.00022042,0.00224328
146,260,-0.43301165,-0.00008869,-0.00000154,-3.54780722,0.0002909,0.00243986
148,260,-0.4320716,-0.00031734,-0.00001243,-3.54722404,0.00028422,0.00239706
150,260,-0.43425182,-0.00056309,0.00002607,-3.54845214,0.00045044,0.00231719
152,260,-0.43451956,-0.00034994,-0.00009977,-3.54685354,0.00069363,0.00232947
154,260,-0.43530568,-0.0004527,-0.00025295,-3.54862547,0.00113475,0.00202429
156,260,-0.43427449,-0.00059396,0.00002245,-3.54731965,0.00057066,0.00174284
158,260,-0.43675879,-0.00094807,0.00001447,-3.54442739,0.00053616,0.00183606
160,260,-0.43598226,0.0001111,0.00016723,-3.5442915,0.00068271,0.00203431
162,260,-0.43786058,0.00025833,-0.00004467,-3.54406667,0.00047723,0.00192845
164,260,-0.43737742,0.00044167,-0.00008896,-3.5431602,0.00036542,0.00200939
166,260,-0.43568817,0.00073767,-0.00021567,-3.54424095,0.0002682,0.00191617
168,260,-0.43577278,0.00072849,-0.00016239,-3.54132366,0.00035451,0.00207543
170,260,-0.43436128,0.00048912,-0.0000537,-3.54145861,0.00002821,0.00202692
172,260,-0.4334619,0.00013471,-0.00001715,-3.53987479,-0.00007842,0.00210428
174,260,-0.43572557,0.00013721,-0.00016801,-3.53962708,0.00019131,0.00205064
176,260,-0.43376651,-0.00031543,-0.00047171,-3.53848839,0.0004414,0.0020709
178,260,-0.43486074,0.00011528,-0.00025768,-3.53915048,0.00036291,0.00221503
180,260,-0.43275213,-0.00004685,-0.00033654,-3.53808546,0.00024914,0.00218904
182,260,-0.43467838,-0.00002789,-0.00040034,-3.53821087,0.00028011,0.00211787
184,260,-0.43419507,-0.00031751,-0.00019668,-3.53689718,0.00033692,0.00218761
186,260,-0.43548059,-0.00024939,-0.00039444,-3.53691435,0.00043924,0.00237978
188,260,-0.43519372,-0.00028187,-0.00033148,-3.53650188,0.00034622,0.00248718
190,260,-0.4355171,-0.00032562,-0.00041328,-3.53557897,0.00037516,0.00260186
192,260,-0.43552631,-0.00066131,-0.00036959,-3.53428435,0.0004999,0.00251973
194,260,-0.43518758,-0.00028646,-0.00061984,-3.53124738,0.00055024,0.00271094
196,260,-0.43724152,-0.00012267,-0.00038904,-3.53174281,0.00045235,0.00273573
198,260,-0.43923837,-0.00078034,-0.00037517,-3.53174543,0.00030701,0.00276232
200,260,-0.44115576,-0.00062263,-0.00057128,-3.53116822,0.00008526,0.00270283
202,260,-0.44165483,-0.00038445,-0.00033333,-3.52927709,0.00009803,0.00265217
204,260,-0.43997878,-0.00012147,-0.00037463,-3.5288744,0.00022188,0.00262213
206,260,-0.4415845,-0.00062656,-0.00051844,-3.52716136,0.00031067,0.00241745
208,260,-0.44357228,-0.00074208,-0.00045111,-3.52723789,0.00066949,0.00225341
210,260,-0.44241682,-0.00067621,-0.00050008,-3.52718711,0.00076409,0.00266457
212,260,-0.44464597,-0.00048918,-0.00055839,-3.52540183,0.00052811,0.00264072
214,260,-0.44547531,-0.00055766,-0.00048959,-3.52428579,0.00044989,0.00264406
216,260,-0.4455936,-0.00075287,-0.00060284,-3.52345037,0.00021205,0.00264788
218,260,-0.44761071,-0.00058526,-0.00038609,-3.52328801,0.00021799,0.00270545
220,260,-0.44989106,-0.00061983,-0.00035023,-3.52415919,0.00023295,0.00267565
222,260,-0.45093545,-0.00079584,-0.0004684,-3.52434087,0.00005297,0.00272858
224,260,-0.4555153,-0.00109279,-0.00047929,-3.52362466,-0.0001402,0.00270343
226,260,-0.45802465,-0.00128436,-0.00017536,-3.52311301,0.00008378,0.00274158
228,260,-0.45951495,-0.00095415,-0.00041265,-3.52600408,-0.00002979,0.00248873
30,262,-0.3916257,-0.00017703,0.00040945,-3.47552896,-0.00064103,0.00286746
32,262,-0.39253452,0.00008869,0.0003181,-3.4766109,-0.00067257,0.00287282
34,262,-0.39402762,0.00004327,0.00024091,-3.47787523,-0.00064806,0.00291729
36,262,-0.39371556,-0.00023949,0.00051929,-3.47760296,-0.0006792,0.00293469
38,262,-0.39355937,-0.00037956,0.00061744,-3.47959232,-0.00070068,0.00288558
40,262,-0.39421767,-0.00030077,0.00058897,-3.48075962,-0.00092638,0.00284278
42,262,-0.39369527,-0.00040871,0.00060078,-3.48268247,-0.00093985,0.00307751
44,262,-0.39649701,-0.00018114,0.00088964,-3.48632717,-0.00078473,0.00302076
46,262,-0.39673826,-0.00021464,0.00087203,-3.4879055,-0.0008072,0.00310242
48,262,-0.39943975,-0.00050801,0.00073611,-3.48793459,-0.00070034,0.00319064
50,262,-0.39937288,-0.00028384,0.00098125,-3.48965311,-0.00075519,0.00321281
52,262,-0.40071619,-0.00053245,0.00103447,-3.49147725,-0.00072283,0.00322425
54,262,-0.40120751,-0.00039279,0.00106234,-3.49257636,-0.00062296,0.00323462
56,262,-0.40204319,-0.00060809,0.00115732,-3.49322414,-0.00057573,0.00332868
58,262,-0.4023079,-0.00041223,0.00107304,-3.49438906,-0.000576,0.00325739
60,262,-0.40269002,-0.0005101,0.00104896,-3.4951458,-0.00046973,0.00346434
